url,address,building_area,surface_area,bedroom,bathroom,parking_area,tenure,price
https://www.rumah123.com/properti/cimahi/hos8552439/,"Cimahi Tengah, Cimahi",143.0,288.0,6,2,1,SHM - Sertifikat Hak Milik,2400000000.0
https://www.rumah123.com/properti/cimahi/hos8524131/,"Cimahi Tengah, Cimahi",143.0,288.0,6,2,0,SHM - Sertifikat Hak Milik,2400000000.0
https://www.rumah123.com/properti/cimahi/hos8983745/,"Cimahi Utara, Cimahi",200.0,210.0,4,2,2,SHM - Sertifikat Hak Milik,1650000000.0
https://www.rumah123.com/properti/bandung/hos9064726/,"Sariwangi, Bandung Barat",240.0,256.0,5,3,0,SHM - Sertifikat Hak Milik,2200000000.0
https://www.rumah123.com/properti/cimahi/hos8983580/,"Cimahi Utara, Cimahi",220.0,263.0,3,2,3,SHM - Sertifikat Hak Milik,2000000000.0
https://www.rumah123.com/properti/bandung/hos8765179/,"Setiabudi, Bandung",250.0,209.0,3,3,0,SHM - Sertifikat Hak Milik,1700000000.0
https://www.rumah123.com/properti/cimahi/hos8588255/,"Cimahi Tengah, Cimahi",90.0,114.0,2,2,0,SHM - Sertifikat Hak Milik,1050000000.0
https://www.rumah123.com/properti/cimahi/hos9084183/,"Cimahi Selatan, Cimahi",126.0,63.0,7,1,0,SHM - Sertifikat Hak Milik,335000000.0
https://www.rumah123.com/properti/bandung/hos7891318/,"Sariwangi, Bandung Barat",300.0,525.0,4,3,2,SHM - Sertifikat Hak Milik,5500000000.0
https://www.rumah123.com/properti/cimahi/hos5962002/,"Cimahi Utara, Cimahi",88.0,150.0,3,1,0,SHM - Sertifikat Hak Milik,950000000.0
https://www.rumah123.com/properti/bandung-barat/hos7835471/,"Parongpong, Bandung Barat",50.0,60.0,3,2,1,SHM - Sertifikat Hak Milik,711100000.0
https://www.rumah123.com/properti/cimahi/hos8470653/,"Cimahi Utara, Cimahi",60.0,96.0,2,1,1,SHM - Sertifikat Hak Milik,695000000.0
https://www.rumah123.com/properti/cimahi/hos8523010/,"Cimahi Utara, Cimahi",500.0,180.0,4,7,1,SHM - Sertifikat Hak Milik,2090000000.0
https://www.rumah123.com/properti/bandung/hos8043693/,"Parongpong, Bandung Barat",100.0,257.0,3,2,0,HGB - Hak Guna Bangunan,1150000000.0
https://www.rumah123.com/properti/bandung/hos8754812/,"Cihanjuang, Bandung Barat",300.0,384.0,4,3,2,SHM - Sertifikat Hak Milik,2800000000.0
https://www.rumah123.com/properti/cimahi/hos9060113/,"Cimahi Utara, Cimahi",90.0,132.0,3,2,0,SHM - Sertifikat Hak Milik,1150000000.0
https://www.rumah123.com/properti/cimahi/hos9098310/,"Cimahi Tengah, Cimahi",200.0,120.0,3,2,1,SHM - Sertifikat Hak Milik,825000000.0
https://www.rumah123.com/properti/cimahi/hos8619159/,"Cimahi Tengah, Cimahi",300.0,300.0,6,3,0,SHM - Sertifikat Hak Milik,6700000000.0
https://www.rumah123.com/properti/bandung/hos8377129/,"Ngamprah, Bandung Barat",68.0,115.0,2,2,0,SHM - Sertifikat Hak Milik,1185000000.0
https://www.rumah123.com/properti/cimahi/hos4653487/,"Cimahi Utara, Cimahi",350.0,224.0,4,3,3,SHM - Sertifikat Hak Milik,2200000000.0
https://www.rumah123.com/properti/bandung/hos9060522/,"Sariwangi, Bandung Barat",90.0,96.0,3,2,0,SHM - Sertifikat Hak Milik,1300000000.0
https://www.rumah123.com/properti/cimahi/hos9060612/,"Cimahi Tengah, Cimahi",2000.0,1600.0,34,25,25,SHM - Sertifikat Hak Milik,17000000000.0
https://www.rumah123.com/properti/cimahi/hos9057948/,"Cimahi Utara, Cimahi",76.0,120.0,3,2,1,SHM - Sertifikat Hak Milik,1050000000.0
https://www.rumah123.com/properti/bandung-barat/hos8399698/,"Lembang, Bandung Barat",55.0,80.0,2,2,0,SHM - Sertifikat Hak Milik,876000000.0
https://www.rumah123.com/properti/cimahi/hos8671314/,"Cimahi Tengah, Cimahi",180.0,668.0,4,3,1,SHM - Sertifikat Hak Milik,8150000000.0
https://www.rumah123.com/properti/cimahi/hos9135444/,"Cimahi Utara, Cimahi",76.0,90.0,3,2,1,SHM - Sertifikat Hak Milik,895000000.0
https://www.rumah123.com/properti/cimahi/hos7704423/,"Cimahi Utara, Cimahi",36.0,72.0,2,1,0,SHM - Sertifikat Hak Milik,395000000.0
https://www.rumah123.com/properti/cimahi/hos8582871/,"Cimahi Selatan, Cimahi",178.0,178.0,4,1,0,SHM - Sertifikat Hak Milik,1200000000.0
https://www.rumah123.com/properti/cimahi/hos8765225/,"Cimahi Utara, Cimahi",70.0,84.0,2,1,0,SHM - Sertifikat Hak Milik,580000000.0
https://www.rumah123.com/properti/bandung/hos3104619/,"Lembang, Bandung Barat",550.0,440.0,5,4,2,SHM - Sertifikat Hak Milik,2750000000.0
https://www.rumah123.com/properti/cimahi/hos9132503/,"Cimahi Utara, Cimahi",55.0,80.0,2,2,1,SHM - Sertifikat Hak Milik,700000000.0
https://www.rumah123.com/properti/bandung/hos9127294/,"Cimahi Tengah, Cimahi",400.0,394.0,4,4,0,SHM - Sertifikat Hak Milik,3980000000.0
https://www.rumah123.com/properti/bandung/hos8007188/,"Cimahi Utara, Cimahi",90.0,102.0,3,2,0,SHM - Sertifikat Hak Milik,1128000000.0
https://www.rumah123.com/properti/bandung/hos9094826/,"Lembang, Bandung Barat",120.0,118.0,4,3,1,SHM - Sertifikat Hak Milik,1310000000.0
https://www.rumah123.com/properti/bandung/hos6051884/,"Cibeureum, Bandung",600.0,1000.0,5,3,2,SHM - Sertifikat Hak Milik,11500000000.0
https://www.rumah123.com/properti/cimahi/hos8723641/,"Cimahi Selatan, Cimahi",50.0,86.0,3,2,0,SHM - Sertifikat Hak Milik,800000000.0
https://www.rumah123.com/properti/cimahi/hos8807887/,"Cimahi Utara, Cimahi",83.0,120.0,3,2,0,SHM - Sertifikat Hak Milik,1200000000.0
https://www.rumah123.com/properti/bandung/hos8589468/,"Cijerah, Bandung",70.0,200.0,3,2,0,SHM - Sertifikat Hak Milik,1900000000.0
https://www.rumah123.com/properti/cimahi/hos8470774/,"Cimahi Utara, Cimahi",80.0,90.0,3,1,1,SHM - Sertifikat Hak Milik,775000000.0
https://www.rumah123.com/properti/bandung/hos8574932/,"Gunung Batu, Bandung",168.0,108.0,3,3,0,SHM - Sertifikat Hak Milik,1950000000.0
https://www.rumah123.com/properti/cimahi/hos9082772/,"Cimahi Selatan, Cimahi",69.0,83.0,2,2,0,SHM - Sertifikat Hak Milik,830000000.0
https://www.rumah123.com/properti/cimahi/hos9134767/,"Cimahi Utara, Cimahi",71.0,55.0,2,2,1,SHM - Sertifikat Hak Milik,720000000.0
https://www.rumah123.com/properti/cimahi/hos7373774/,"Cimahi Utara, Cimahi",168.0,130.0,2,2,0,SHM - Sertifikat Hak Milik,1800000000.0
https://www.rumah123.com/properti/bandung/hos8810156/,"Cihanjuang, Bandung Barat",50.0,60.0,2,2,0,SHM - Sertifikat Hak Milik,535000000.0
https://www.rumah123.com/properti/cimahi/hos8227518/,"Cimahi Tengah, Cimahi",816.0,820.0,19,15,0,Tidak Ada Penjelasan,8000000000.0
https://www.rumah123.com/properti/cimahi/hos8912721/,"Cimahi Utara, Cimahi",90.0,105.0,3,2,0,SHM - Sertifikat Hak Milik,1244000000.0
https://www.rumah123.com/properti/bandung/hos8722953/,"Cimahi Utara, Cimahi",50.0,86.0,3,2,0,SHM - Sertifikat Hak Milik,800000000.0
https://www.rumah123.com/properti/bandung/hos8797329/,"Ngamprah, Bandung Barat",80.0,90.0,2,1,0,SHM - Sertifikat Hak Milik,595000000.0
https://www.rumah123.com/properti/bandung/hos7399370/,"Setra Duta, Bandung",200.0,86.0,3,4,0,SHM - Sertifikat Hak Milik,2350000000.0
https://www.rumah123.com/properti/bandung/hos8376720/,"Sariwangi, Bandung Barat",50.0,62.0,2,1,0,SHM - Sertifikat Hak Milik,600000000.0
https://www.rumah123.com/properti/cimahi/hos8808066/,"Cimahi Utara, Cimahi",76.0,120.0,3,2,1,SHM - Sertifikat Hak Milik,1090000000.0
https://www.rumah123.com/properti/bandung/hos6969141/,"Cimahi Utara, Cimahi",100.0,133.0,4,2,1,Tidak Ada Penjelasan,1400000000.0
https://www.rumah123.com/properti/cimahi/hos8983723/,"Cimahi Utara, Cimahi",82.0,125.0,3,3,2,SHM - Sertifikat Hak Milik,900000000.0
https://www.rumah123.com/properti/cimahi/hos8975780/,"Cimahi Tengah, Cimahi",150.0,210.0,0,2,3,SHM - Sertifikat Hak Milik,2800000000.0
https://www.rumah123.com/properti/cimahi/hos6921050/,"Cimahi Tengah, Cimahi",300.0,189.0,3,3,1,SHM - Sertifikat Hak Milik,2500000000.0
https://www.rumah123.com/properti/cimahi/hos8669884/,"Cimahi Utara, Cimahi",56.0,57.0,2,2,1,SHM - Sertifikat Hak Milik,595000000.0
https://www.rumah123.com/properti/bandung/hos8604169/,"Sarijadi, Bandung",150.0,97.0,4,3,0,SHM - Sertifikat Hak Milik,1980000000.0
https://www.rumah123.com/properti/bandung/hos8674098/,"Cimahi Utara, Cimahi",45.0,72.0,2,1,1,SHM - Sertifikat Hak Milik,425000000.0
https://www.rumah123.com/properti/bandung/hos9116241/,"Cihanjuang, Bandung Barat",60.0,77.0,3,2,2,SHM - Sertifikat Hak Milik,850000000.0
https://www.rumah123.com/properti/cimahi/hos7728079/,"Cimahi Utara, Cimahi",400.0,264.0,9,9,0,SHM - Sertifikat Hak Milik,2500000000.0
